,gamma,beta,rho,MaxVNE
138,1.0,7.0,0.9,0.9519553465998093
139,1.0,7.0,0.92,0.9523450714863737
140,1.0,7.0,0.94,0.9530482586073291
141,1.0,7.0,0.96,0.9515634423359348
142,1.0,7.0,0.98,0.9518362127712764
143,1.0,7.0,0.99,0.9515783488778112
144,1.0,7.0,0.999,0.9506438700810502
145,1.0,7.0,0.9999,0.9430885232081994
146,1.0,7.0,1.0,0.8898827204203661
147,1.0,8.0,0.1,0.9531731618736705
148,1.0,8.0,0.2,0.9530400527262659
149,1.0,8.0,0.3,0.9529388040415522
150,1.0,8.0,0.4,0.9524992724653397
151,1.0,8.0,0.5,0.9530708492321878
152,1.0,8.0,0.6,0.953055043627199
153,1.0,8.0,0.7,0.9530424496492228
154,1.0,8.0,0.8,0.9524677373839507
155,1.0,8.0,0.82,0.952284323157101
156,1.0,8.0,0.84,0.9523263134893868
157,1.0,8.0,0.86,0.9526315171707931
158,1.0,8.0,0.88,0.9522218276124631
159,1.0,8.0,0.9,0.9519138315318985
160,1.0,8.0,0.92,0.9517573399781702
161,1.0,8.0,0.94,0.9523377726882432
162,1.0,8.0,0.96,0.9531226350309112
163,1.0,8.0,0.98,0.9518109070059247
164,1.0,8.0,0.99,0.9525126769074683
165,1.0,8.0,0.999,0.9508891053072508
166,1.0,8.0,0.9999,0.9447509360246729
167,1.0,8.0,1.0,0.8745763552436389
168,1.0,9.0,0.1,0.9529002450367517
169,1.0,9.0,0.2,0.9526281172535381
170,1.0,9.0,0.3,0.9532945775356786
171,1.0,9.0,0.4,0.9524813101082016
172,1.0,9.0,0.5,0.9527729052754071
173,1.0,9.0,0.6,0.9530549150700663
174,1.0,9.0,0.7,0.9530668886894836
175,1.0,9.0,0.8,0.9528257274851217
176,1.0,9.0,0.82,0.9528900922921272
177,1.0,9.0,0.84,0.9526956240795501
178,1.0,9.0,0.86,0.9521131956325707
179,1.0,9.0,0.88,0.9516802390832468
180,1.0,9.0,0.9,0.9529529770485199
181,1.0,9.0,0.92,0.9527117373789634
182,1.0,9.0,0.94,0.9524716442452424
183,1.0,9.0,0.96,0.9516586755655824
184,1.0,9.0,0.98,0.9519369107034727
185,1.0,9.0,0.99,0.9509618902789368
186,1.0,9.0,0.999,0.9454391692200769
187,1.0,9.0,0.9999,0.9477137970527225
188,1.0,9.0,1.0,0.85375991895218
189,1.0,10.0,0.1,0.9529281225924721
190,1.0,10.0,0.2,0.9536429223410281
191,1.0,10.0,0.3,0.9539433085410747
192,1.0,10.0,0.4,0.953742241774159
193,1.0,10.0,0.5,0.9534830942971929
194,1.0,10.0,0.6,0.9535992958803529
195,1.0,10.0,0.7,0.9535611970119419
196,1.0,10.0,0.8,0.9528487626172548
197,1.0,10.0,0.82,0.9533412924715525
198,1.0,10.0,0.84,0.9536768471343029
199,1.0,10.0,0.86,0.9529521434234465
200,1.0,10.0,0.88,0.953045180015852
201,1.0,10.0,0.9,0.953317023021952
202,1.0,10.0,0.92,0.9529085612230529
203,1.0,10.0,0.94,0.9526895723820376
204,1.0,10.0,0.96,0.9527115280564254
205,1.0,10.0,0.98,0.9515969644444618
206,1.0,10.0,0.99,0.950537129260573
207,1.0,10.0,0.999,0.9489135457770729
208,1.0,10.0,0.9999,0.9443986354079428
209,1.0,10.0,1.0,0.893507341817832
210,2.0,1.0,0.1,0.9522896399600841
211,2.0,1.0,0.2,0.9521526471306582
212,2.0,1.0,0.3,0.9525769980741688
213,2.0,1.0,0.4,0.9525201582541412
214,2.0,1.0,0.5,0.9518953486026372
215,2.0,1.0,0.6,0.952591442311198
216,2.0,1.0,0.7,0.9525213289665474
217,2.0,1.0,0.8,0.9522267370353894
218,2.0,1.0,0.82,0.9524189312672832
219,2.0,1.0,0.84,0.952290482338297
220,2.0,1.0,0.86,0.9525131933890256
221,2.0,1.0,0.88,0.9516641340235887
222,2.0,1.0,0.9,0.9517183486625455
223,2.0,1.0,0.92,0.9522605057345052
224,2.0,1.0,0.94,0.9519971245628375
225,2.0,1.0,0.96,0.9524247027046789
226,2.0,1.0,0.98,0.9525168465474528
227,2.0,1.0,0.99,0.9528088008416183
228,2.0,1.0,0.999,0.9527738558804841
229,2.0,1.0,0.9999,0.9528252336285173
230,2.0,1.0,1.0,0.9528416641649272
231,2.0,2.0,0.1,0.951949322874469
232,2.0,2.0,0.2,0.9525677433049772
233,2.0,2.0,0.3,0.9519608729769796
234,2.0,2.0,0.4,0.9523465654796911
235,2.0,2.0,0.5,0.9512808310090412
236,2.0,2.0,0.6,0.9520616814967748
237,2.0,2.0,0.7,0.9521779129196996
238,2.0,2.0,0.8,0.9522333923409524
239,2.0,2.0,0.82,0.9520474230762876
240,2.0,2.0,0.84,0.9520229512120075
241,2.0,2.0,0.86,0.9521536678725651
242,2.0,2.0,0.88,0.9519603747134958
243,2.0,2.0,0.9,0.9515433811010453
244,2.0,2.0,0.92,0.9521367567732231
245,2.0,2.0,0.94,0.9523836115198431
246,2.0,2.0,0.96,0.9522759044956849
247,2.0,2.0,0.98,0.9525121630754315
248,2.0,2.0,0.99,0.9523297765353812
249,2.0,2.0,0.999,0.952680380606636
250,2.0,2.0,0.9999,0.952805075029961
251,2.0,2.0,1.0,0.9528726619547581
252,2.0,3.0,0.1,0.9517291618545075
253,2.0,3.0,0.2,0.9521088514917836
254,2.0,3.0,0.3,0.951928821576877
255,2.0,3.0,0.4,0.9525442643353482
256,2.0,3.0,0.5,0.9527862130676571
257,2.0,3.0,0.6,0.9516138567202622
258,2.0,3.0,0.7,0.9520094522169843
259,2.0,3.0,0.8,0.9524461220304902
260,2.0,3.0,0.82,0.9524915440080978
261,2.0,3.0,0.84,0.951435351697112
262,2.0,3.0,0.86,0.9521394808032936
263,2.0,3.0,0.88,0.9520735549493464
264,2.0,3.0,0.9,0.9523571355733657
265,2.0,3.0,0.92,0.9520451897968104
266,2.0,3.0,0.94,0.9521463807249794
267,2.0,3.0,0.96,0.9524311626383908
268,2.0,3.0,0.98,0.9517802898028739
269,2.0,3.0,0.99,0.9523690471139693
270,2.0,3.0,0.999,0.9515127505497637
271,2.0,3.0,0.9999,0.9511133950988082
272,2.0,3.0,1.0,0.9523341153530467
273,2.0,4.0,0.1,0.9524133696740283
274,2.0,4.0,0.2,0.9518622898492582
275,2.0,4.0,0.3,0.9527136147321202
276,2.0,4.0,0.4,0.9531609736441555
277,2.0,4.0,0.5,0.9526602041971711
278,2.0,4.0,0.6,0.952783788477153
279,2.0,4.0,0.7,0.9523081310344763
280,2.0,4.0,0.8,0.9526140956615321
281,2.0,4.0,0.82,0.9517993424903832
282,2.0,4.0,0.84,0.9530230714389027
283,2.0,4.0,0.86,0.9531169081086406
284,2.0,4.0,0.88,0.9528879356457856
285,2.0,4.0,0.9,0.9527750676075549
286,2.0,4.0,0.92,0.952478539447112
287,2.0,4.0,0.94,0.9526348454231961
288,2.0,4.0,0.96,0.953093475853322
289,2.0,4.0,0.98,0.9530362070540765
290,2.0,4.0,0.99,0.9527882573309953
291,2.0,4.0,0.999,0.9499413880483358
292,2.0,4.0,0.9999,0.9505318874225577
293,2.0,4.0,1.0,0.9453034325476979
294,2.0,5.0,0.1,0.9515437623342613
295,2.0,5.0,0.2,0.9524881750628303
296,2.0,5.0,0.3,0.9526876548479223
297,2.0,5.0,0.4,0.952569300493702
298,2.0,5.0,0.5,0.9524701366780994
299,2.0,5.0,0.6,0.9525349600080552
300,2.0,5.0,0.7,0.9527711088460362
301,2.0,5.0,0.8,0.9528337364182953
302,2.0,5.0,0.82,0.9525066459388265
303,2.0,5.0,0.84,0.9527754459267946
304,2.0,5.0,0.86,0.9524022613402432
305,2.0,5.0,0.88,0.9519817729582135
306,2.0,5.0,0.9,0.9525789798906029
