,gamma,beta,rho,MaxVNE
138,1.0,7.0,0.9,0.4481621675066222
139,1.0,7.0,0.92,0.4595577407863413
140,1.0,7.0,0.94,0.4682373055031118
141,1.0,7.0,0.96,0.46243569655378314
142,1.0,7.0,0.98,0.48801823850637777
143,1.0,7.0,0.99,0.5121749162295227
144,1.0,7.0,0.999,0.542181848672289
145,1.0,7.0,0.9999,0.5703644208841315
146,1.0,7.0,1.0,0.5245520436406037
147,1.0,8.0,0.1,0.4159087506082142
148,1.0,8.0,0.2,0.4107097611676611
149,1.0,8.0,0.3,0.408474128518009
150,1.0,8.0,0.4,0.4341792667470389
151,1.0,8.0,0.5,0.4084524982002667
152,1.0,8.0,0.6,0.41446548873104966
153,1.0,8.0,0.7,0.4142194705252146
154,1.0,8.0,0.8,0.4041654632549644
155,1.0,8.0,0.82,0.43561769775055315
156,1.0,8.0,0.84,0.41698142318604436
157,1.0,8.0,0.86,0.42271045153076164
158,1.0,8.0,0.88,0.4390904088550487
159,1.0,8.0,0.9,0.41854930025348375
160,1.0,8.0,0.92,0.4429836985462686
161,1.0,8.0,0.94,0.43647932289525065
162,1.0,8.0,0.96,0.44707137494500826
163,1.0,8.0,0.98,0.4647970149655126
164,1.0,8.0,0.99,0.4532460300481539
165,1.0,8.0,0.999,0.49643093848259584
166,1.0,8.0,0.9999,0.5121057836851719
167,1.0,8.0,1.0,0.4857744009422578
168,1.0,9.0,0.1,0.37132721232210725
169,1.0,9.0,0.2,0.39354286327313615
170,1.0,9.0,0.3,0.36104330805361506
171,1.0,9.0,0.4,0.32380331593855466
172,1.0,9.0,0.5,0.36189895588599685
173,1.0,9.0,0.6,0.32898237672855435
174,1.0,9.0,0.7,0.3586920231129473
175,1.0,9.0,0.8,0.37224286286745634
176,1.0,9.0,0.82,0.36724749141466634
177,1.0,9.0,0.84,0.35249255230370385
178,1.0,9.0,0.86,0.3939146260598981
179,1.0,9.0,0.88,0.38497112744821915
180,1.0,9.0,0.9,0.38002438176273834
181,1.0,9.0,0.92,0.368079906411284
182,1.0,9.0,0.94,0.41406719394573505
183,1.0,9.0,0.96,0.3879190728895763
184,1.0,9.0,0.98,0.4099929241670209
185,1.0,9.0,0.99,0.4176057249283529
186,1.0,9.0,0.999,0.4368236309146998
187,1.0,9.0,0.9999,0.46065975407934223
188,1.0,9.0,1.0,0.4278228378785604
189,1.0,10.0,0.1,0.30215046071872376
190,1.0,10.0,0.2,0.3045881609982554
191,1.0,10.0,0.3,0.27947421287205476
192,1.0,10.0,0.4,0.31305031362968827
193,1.0,10.0,0.5,0.30432016962746894
194,1.0,10.0,0.6,0.3057515540003742
195,1.0,10.0,0.7,0.3158524456946319
196,1.0,10.0,0.8,0.3028566550803681
197,1.0,10.0,0.82,0.29585261400630625
198,1.0,10.0,0.84,0.3199507684585765
199,1.0,10.0,0.86,0.3014129339123586
200,1.0,10.0,0.88,0.3279755910698978
201,1.0,10.0,0.9,0.328963166073577
202,1.0,10.0,0.92,0.3433661181675166
203,1.0,10.0,0.94,0.34740707688312195
204,1.0,10.0,0.96,0.342938056660601
205,1.0,10.0,0.98,0.3719924159103279
206,1.0,10.0,0.99,0.3801239289359544
207,1.0,10.0,0.999,0.3865797531456774
208,1.0,10.0,0.9999,0.3916610008889846
209,1.0,10.0,1.0,0.3696572402279935
210,2.0,1.0,0.1,0.9079675641421873
211,2.0,1.0,0.2,0.9046331542441147
212,2.0,1.0,0.3,0.9043438684260875
213,2.0,1.0,0.4,0.9023668628001326
214,2.0,1.0,0.5,0.901830748213661
215,2.0,1.0,0.6,0.8956922160397406
216,2.0,1.0,0.7,0.8917054240830469
217,2.0,1.0,0.8,0.8890286253083076
218,2.0,1.0,0.82,0.8879260378751713
219,2.0,1.0,0.84,0.9005651582956008
220,2.0,1.0,0.86,0.8867300696911419
221,2.0,1.0,0.88,0.8952879933827574
222,2.0,1.0,0.9,0.8926742355493088
223,2.0,1.0,0.92,0.9016323632959685
224,2.0,1.0,0.94,0.8942971572957987
225,2.0,1.0,0.96,0.8940603918952754
226,2.0,1.0,0.98,0.8983249378443345
227,2.0,1.0,0.99,0.8971426774269072
228,2.0,1.0,0.999,0.9250630636327906
229,2.0,1.0,0.9999,0.9077443494955154
230,2.0,1.0,1.0,0.9119936256199614
231,2.0,2.0,0.1,0.7992132393815742
232,2.0,2.0,0.2,0.7899574912700662
233,2.0,2.0,0.3,0.7990306708014503
234,2.0,2.0,0.4,0.7986046322555852
235,2.0,2.0,0.5,0.7955295460507525
236,2.0,2.0,0.6,0.7798913246409833
237,2.0,2.0,0.7,0.7872261707572118
238,2.0,2.0,0.8,0.7906219539882205
239,2.0,2.0,0.82,0.7915349581526799
240,2.0,2.0,0.84,0.7765339217771573
241,2.0,2.0,0.86,0.7714851526570689
242,2.0,2.0,0.88,0.7620585864482485
243,2.0,2.0,0.9,0.7764117518213782
244,2.0,2.0,0.92,0.7716435870834428
245,2.0,2.0,0.94,0.7587326026788102
246,2.0,2.0,0.96,0.7525542942262764
247,2.0,2.0,0.98,0.7898147966799854
248,2.0,2.0,0.99,0.785117899907566
249,2.0,2.0,0.999,0.8189731447606822
250,2.0,2.0,0.9999,0.8225039171486253
251,2.0,2.0,1.0,0.8243010253360963
252,2.0,3.0,0.1,0.739406814018105
253,2.0,3.0,0.2,0.740628721458935
254,2.0,3.0,0.3,0.7343758274956557
255,2.0,3.0,0.4,0.7308642576619809
256,2.0,3.0,0.5,0.7187872462094637
257,2.0,3.0,0.6,0.7122069875826339
258,2.0,3.0,0.7,0.7235623594614895
259,2.0,3.0,0.8,0.7086466975913788
260,2.0,3.0,0.82,0.7147392879725482
261,2.0,3.0,0.84,0.7087095539333462
262,2.0,3.0,0.86,0.7145571883914779
263,2.0,3.0,0.88,0.7198978551010007
264,2.0,3.0,0.9,0.7174426043842745
265,2.0,3.0,0.92,0.7336117285567735
266,2.0,3.0,0.94,0.7191334835984645
267,2.0,3.0,0.96,0.7408257825810862
268,2.0,3.0,0.98,0.750876438584004
269,2.0,3.0,0.99,0.7599643059553347
270,2.0,3.0,0.999,0.7594993917584252
271,2.0,3.0,0.9999,0.7693362282579107
272,2.0,3.0,1.0,0.7719278379221953
273,2.0,4.0,0.1,0.6576911662955033
274,2.0,4.0,0.2,0.6587224487150409
275,2.0,4.0,0.3,0.6506129175547597
276,2.0,4.0,0.4,0.6497073389131697
277,2.0,4.0,0.5,0.6509881190818501
278,2.0,4.0,0.6,0.6411621981450614
279,2.0,4.0,0.7,0.6413251763809363
280,2.0,4.0,0.8,0.6351081710994909
281,2.0,4.0,0.82,0.6488599158237823
282,2.0,4.0,0.84,0.6340138846923496
283,2.0,4.0,0.86,0.6406169866299529
284,2.0,4.0,0.88,0.6486381912500244
285,2.0,4.0,0.9,0.6486597214107105
286,2.0,4.0,0.92,0.6502684684095938
287,2.0,4.0,0.94,0.6499926800342363
